% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jan 20 2025, 18:48
% Dimension:          3
% Nodes:              200
% Expressions:        1
% Description:        Potenziale elettrico
% Length unit:        mm
% x                       y                        z                        V (V)
3.853                     6.928203230275509        15.293                   88.74994944345679
3.771                     6.928203230275509        15.142                   89.67325620937324
3.8690000000000007        6.928203230275509        15.43                    87.92158729646177
4.052                     6.928203230275509        15.323000000000002       88.45715493057997
3.891                     6.928203230275509        15.031                   90.34301236503167
3.7680000000000002        6.928203230275509        15.199                   89.31705830835622
3.854                     6.928203230275509        15.322                   88.57274613922077
4.061                     6.928203230275509        15.404000000000002       87.94483092145167
3.847                     6.928203230275509        15.341000000000001       88.45652388751702
4.22                      6.928203230275509        15.058                   89.68044012000445
4.219                     6.928203230275509        15.332000000000003       88.02459287059332
3.8690000000000007        6.928203230275509        15.459                   87.74869686700622
4.186                     6.928203230275509        15.263                   88.5206119966694
3.819                     6.928203230275509        15.293                   88.7461196469055
3.965                     6.928203230275509        15.031                   90.39327558410277
4.066                     6.928203230275509        15.215                   89.09394103605918
4.114                     6.928203230275509        15.342000000000002       88.20278396687979
4.083000000000001         6.928203230275509        15.303                   88.51055068219253
4.005                     6.928203230275509        15.392                   88.13915718413395
4.012                     6.928203230275509        15.435                   87.86408197494062
4.038                     6.928203230275509        15.343                   88.36570347435799
4.167                     6.928203230275509        15.218                   88.83971899700161
3.893                     6.928203230275509        15.097                   89.97804153554343
4.243                     6.928203230275509        15.257                   88.41803794929952
3.982                     6.928203230275509        15.016                   90.50655183300783
3.841                     6.928203230275509        15.081000000000001       90.0626436840871
3.9290000000000003        6.928203230275509        15.3                     88.71258978471545
4.047                     6.928203230275509        15.114                   89.76924464433773
4.191000000000001         6.928203230275509        15.457                   87.34181406252867
4.228                     6.928203230275509        15.412                   87.52512675579536
3.93                      6.928203230275509        15.217                   89.22735817338177
3.778                     6.928203230275509        15.406                   88.05853455878886
4.078                     6.928203230275509        15.14                    89.5326529170433
3.7840000000000003        6.928203230275509        15.383                   88.19682054863439
3.892                     6.928203230275509        15.027000000000001       90.3652593722679
3.836                     6.928203230275509        15.17                    89.51005104856341
4.019                     6.928203230275509        15.397                   88.07852860859232
3.783                     6.928203230275509        15.100000000000001       89.94044245399117
3.755                     6.928203230275509        15.456                   87.75933796103688
4.117                     6.928203230275509        15.395000000000001       87.87572323445539
3.9510000000000005        6.928203230275509        15.399                   88.10906835000723
3.797                     6.928203230275509        15.238                   89.08089958299286
3.902                     6.928203230275509        15.465                   87.71335564027393
3.932                     6.928203230275509        15.123                   89.82014245657417
4.197                     6.928203230275509        15.367                   87.86424868546541
4.154                     6.928203230275509        15.444                   87.5009193916745
3.892                     6.928203230275509        15.478                   87.63612261306979
4.116                     6.928203230275509        15.076                   89.83958070646715
4.046                     6.928203230275509        15.214                   89.14575433649622
4.223                     6.928203230275509        15.010000000000002       89.97287290956102
4.017                     6.928203230275509        15.164                   89.52653827675475
4.109                     6.928203230275509        15.176                   89.23645937188039
3.9110000000000005        6.928203230275509        15.132                   89.7604260990343
4.058                     6.928203230275509        15.244                   88.9313955917136
3.826                     6.928203230275509        15.315000000000001       88.61262490685972
3.848                     6.928203230275509        15.475                   87.65322568857205
3.9459999999999997        6.928203230275509        15.112                   89.89179908429061
4.197                     6.928203230275509        15.31                    88.20842819972552
3.8690000000000007        6.928203230275509        15.467000000000002       87.70117393868912
3.884                     6.928203230275509        15.114                   89.87084186498534
