% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jan 20 2025, 18:49
% Dimension:          3
% Nodes:              200
% Expressions:        1
% Description:        Potenziale elettrico
% Length unit:        mm
% x                       y                        z                        V (V)
3.846                     6.928203230275509        14.546                   56.413318546320596
3.825                     6.928203230275509        14.495                   56.33733565180137
3.9                       6.928203230275509        14.318                   55.97611421728652
4.117                     6.928203230275509        14.604                   56.32722064550654
3.873                     6.928203230275509        14.351                   56.052172089991515
3.9369999999999994        6.928203230275509        14.558                   56.37143305516586
3.814                     6.928203230275509        14.578                   56.49191460069564
4.238                     6.928203230275509        14.296                   55.70793420607542
3.9569999999999994        6.928203230275509        14.233                   55.78912607404216
4.096                     6.928203230275509        14.218                   55.66977766978384
3.9260000000000006        6.928203230275509        14.429                   56.151411051904326
3.857                     6.928203230275509        14.398                   56.14513382139554
3.781                     6.928203230275509        14.364000000000003       56.137263522385624
4.177                     6.928203230275509        14.396                   55.92126800172168
4.205                     6.928203230275509        14.480000000000002       56.0477904843237
4.015                     6.928203230275509        14.188                   55.67128877735102
3.8600000000000003        6.928203230275509        14.355000000000002       56.06809200600078
3.915                     6.928203230275509        14.297                   55.929241261486844
3.9369999999999994        6.928203230275509        14.38                    56.057916305361324
3.787                     6.928203230275509        14.245                   55.92736595541676
4.141                     6.928203230275509        14.608                   56.31748601032939
4.005                     6.928203230275509        14.504                   56.227247986146445
4.116                     6.928203230275509        14.400000000000002       55.969740346845526
4.058                     6.928203230275509        14.433                   56.0665231104096
3.915                     6.928203230275509        14.557                   56.38513259697654
4.110000000000001         6.928203230275509        14.397                   55.968594506580494
3.8                       6.928203230275509        14.273                   55.96685841294417
3.9369999999999994        6.928203230275509        14.194000000000003       55.73650885286542
4.061                     6.928203230275509        14.247000000000002       55.74235660190198
4.238                     6.928203230275509        14.433                   55.9432576084534
4.081                     6.928203230275509        14.531                   56.22302725548025
4.16                      6.928203230275509        14.548                   56.19821489444109
