% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jan 20 2025, 18:49
% Dimension:          3
% Nodes:              119
% Expressions:        1
% Description:        Potenziale elettrico
% Length unit:        mm
% x                       y                        z                        V (V)
3.9459999999999997        6.928203230275509        61.67100000000001        24.87997865503525
3.935                     6.928203230275509        61.625                   24.89369300483694
3.9290000000000003        6.928203230275509        61.664                   24.886829955438074
3.9830000000000005        6.928203230275509        61.532                   24.899633862547763
3.902                     6.928203230275509        61.587                   24.91245613495206
4.036                     6.928203230275509        61.614                   24.87465984291061
4.131                     6.928203230275509        61.542                   24.887881720125947
4.135                     6.928203230275509        61.56                    24.88368241604056
3.871                     6.928203230275509        61.496                   24.942616907568326
4.079                     6.928203230275509        61.557                   24.886148131076073
3.9580000000000006        6.928203230275509        61.462                   24.92346467111064
3.9360000000000004        6.928203230275509        61.686                   24.879752051882623
4.08                      6.928203230275509        61.562                   24.88498660418294
3.8870000000000005        6.928203230275509        61.638                   24.905599240555617
4.002                     6.928203230275509        61.63300000000001        24.871453773646504
3.891                     6.928203230275509        61.727                   24.88454625436327
4.064                     6.928203230275509        61.575                   24.882557371139526
4.089                     6.928203230275509        61.664                   24.861814742738044
4.078                     6.928203230275509        61.541                   24.889800369480838
4.029                     6.928203230275509        61.581                   24.882300395432082
3.994                     6.928203230275509        61.558                   24.89026366193795
4.066                     6.928203230275509        61.465                   24.907482276936037
4.113                     6.928203230275509        61.467                   24.90552548781453
4.079                     6.928203230275509        61.592                   24.878254527977813
4.007000000000001         6.928203230275509        61.464                   24.909563418467723
3.9189999999999996        6.928203230275509        61.569                   24.911269745553767
3.902                     6.928203230275509        61.591                   24.911554137042135
4.121                     6.928203230275509        61.682                   24.856793100212474
3.868                     6.928203230275509        61.642                   24.910509807152273
4.038                     6.928203230275509        61.70700000000001        24.853853465401258
4.129                     6.928203230275509        61.479                   24.902268754998076
4.074                     6.928203230275509        61.566                   24.884272977343056
3.913                     6.928203230275509        61.612                   24.90343294286785
4.07                      6.928203230275509        61.736                   24.846440858298003
3.997                     6.928203230275509        61.646                   24.86952556985368
3.992                     6.928203230275509        61.485                   24.907486196888257
3.972                     6.928203230275509        61.536                   24.902194584737526
3.915                     6.928203230275509        61.536                   24.91998366761502
4.110000000000001         6.928203230275509        61.596                   24.87637062561478
3.897                     6.928203230275509        61.467                   24.94127671562602
3.9310000000000005        6.928203230275509        61.572                   24.90686878071175
4.029                     6.928203230275509        61.704                   24.854797549344227
4.134                     6.928203230275509        61.689                   24.85482284618961
3.9189999999999996        6.928203230275509        61.628                   24.897984604040342
3.88                      6.928203230275509        61.492                   24.94077788322234
4.135                     6.928203230275509        61.517                   24.893422224766738
4.088                     6.928203230275509        61.594                   24.877519788925177
3.866                     6.928203230275509        61.55                    24.931855147442732
3.9490000000000003        6.928203230275509        61.572                   24.90125893329109
3.9260000000000006        6.928203230275509        61.464                   24.93299511739916
3.9610000000000003        6.928203230275509        61.686                   24.871948368925178
4.114                     6.928203230275509        61.646                   24.865037859209615
3.927                     6.928203230275509        61.587                   24.90472559991835
3.95                      6.928203230275509        61.517                   24.913413938982696
4.127                     6.928203230275509        61.519                   24.893225780475746
4.041                     6.928203230275509        61.543                   24.89051253343364
3.915                     6.928203230275509        61.735                   24.875389900628928
3.914                     6.928203230275509        61.539                   24.919612062910737
3.88                      6.928203230275509        61.47200000000001        24.94535233694553
3.9110000000000005        6.928203230275509        61.663                   24.89262467852013
3.877                     6.928203230275509        61.545                   24.9296306868495
4.102                     6.928203230275509        61.479                   24.903136364608986
4.032                     6.928203230275509        61.613                   24.87500883952045
3.876                     6.928203230275509        61.606                   24.916152294174843
4.022                     6.928203230275509        61.475                   24.906579647618287
3.9890000000000003        6.928203230275509        61.539                   24.89614923608796
4.022                     6.928203230275509        61.702                   24.855457597446847
4.113                     6.928203230275509        61.50800000000001        24.89617547316771
4.021                     6.928203230275509        61.556                   24.888194214051627
3.907                     6.928203230275509        61.607                   24.906409725585366
3.9859999999999998        6.928203230275509        61.586                   24.886473508462498
3.8690000000000007        6.928203230275509        61.52                    24.937755921701047
3.892                     6.928203230275509        61.622                   24.907654565014845
3.973                     6.928203230275509        61.613                   24.88449829853301
3.8780000000000006        6.928203230275509        61.583                   24.9207252290079
4.008                     6.928203230275509        61.648                   24.86791338988972
3.895                     6.928203230275509        61.689                   24.891755014107787
3.922                     6.928203230275509        61.594                   24.90469859384912
3.96                      6.928203230275509        61.656000000000006       24.878949142739586
4.12                      6.928203230275509        61.523                   24.892542630879767
4.019                     6.928203230275509        61.67                    24.862664783136218
4.111                     6.928203230275509        61.613                   24.872520618806874
4.110000000000001         6.928203230275509        61.494                   24.899458787740123
4.085                     6.928203230275509        61.695                   24.85504601497961
3.95                      6.928203230275509        61.735                   24.86452222130129
4.087                     6.928203230275509        61.718                   24.849885792480592
4.014                     6.928203230275509        61.617                   24.87466969742242
3.9960000000000004        6.928203230275509        61.588                   24.882858403387687
3.913                     6.928203230275509        61.653                   24.894241421111076
4.136                     6.928203230275509        61.729                   24.845900190218153
3.884                     6.928203230275509        61.604                   24.9141548663598
4.097                     6.928203230275509        61.739                   24.844930521303425
4.002                     6.928203230275509        61.719                   24.852305649521714
4.053                     6.928203230275509        61.656000000000006       24.86472989227773
3.9810000000000003        6.928203230275509        61.593                   24.886475315496376
3.9769999999999994        6.928203230275509        61.553                   24.89676713961451
4.007000000000001         6.928203230275509        61.545                   24.891118639478808
4.085                     6.928203230275509        61.699                   24.85415840805156
4.037                     6.928203230275509        61.669000000000004       24.8623297272076
4.087                     6.928203230275509        61.676                   24.85920553305869
4.015                     6.928203230275509        61.655                   24.8661338023647
3.935                     6.928203230275509        61.696                   24.877839034513286
3.9050000000000002        6.928203230275509        61.59700000000001        24.90927753542894
3.8690000000000007        6.928203230275509        61.697                   24.897928406863784
3.9230000000000005        6.928203230275509        61.661                   24.889360292014473
4.03                      6.928203230275509        61.708                   24.853879708596335
3.985                     6.928203230275509        61.592                   24.885437804182352
3.9369999999999994        6.928203230275509        61.545                   24.91111245013342
4.064                     6.928203230275509        61.641                   24.867736077980418
4.088                     6.928203230275509        61.644                   24.866309678475382
4.005                     6.928203230275509        61.485                   24.904824967844238
4.068                     6.928203230275509        61.501                   24.899201799100318
3.9830000000000005        6.928203230275509        61.48                    24.9114758569179
3.9710000000000005        6.928203230275509        61.67100000000001        24.87215031692228
3.9630000000000005        6.928203230275509        61.65200000000001        24.878902411513447
3.9160000000000004        6.928203230275509        61.56300000000001        24.913555244827496
3.974                     6.928203230275509        61.726000000000006       24.858993349979364
3.886                     6.928203230275509        61.533                   24.929598644343972
3.8870000000000005        6.928203230275509        61.522                   24.931792834532793
