% Model:              Untitled.mph
% Version:            COMSOL 6.1.0.357
% Date:               Jan 20 2025, 18:49
% Dimension:          3
% Nodes:              200
% Expressions:        1
% Description:        Potenziale elettrico
% Length unit:        mm
% x                       y                        z                        V (V)
3.853                     6.928203230275509        15.293                   57.806223925743126
3.771                     6.928203230275509        15.142                   57.576508445820856
3.8690000000000007        6.928203230275509        15.43                    58.06545580978789
4.052                     6.928203230275509        15.323000000000002       57.70780302188933
3.891                     6.928203230275509        15.031                   57.26720499776742
3.7680000000000002        6.928203230275509        15.199                   57.68817138154107
3.854                     6.928203230275509        15.322                   57.8624354840685
4.061                     6.928203230275509        15.404000000000002       57.860796244762554
3.847                     6.928203230275509        15.341000000000001       57.90532950867641
4.22                      6.928203230275509        15.058                   57.07409931463641
4.219                     6.928203230275509        15.332000000000003       57.59366234315493
3.8690000000000007        6.928203230275509        15.459                   58.12374859538104
4.186                     6.928203230275509        15.263                   57.486328841244685
3.819                     6.928203230275509        15.293                   57.83236209524488
3.965                     6.928203230275509        15.031                   57.21299659975601
4.066                     6.928203230275509        15.215                   57.48692771708323
4.114                     6.928203230275509        15.342000000000002       57.69642291668409
4.083000000000001         6.928203230275509        15.303                   57.64443964017734
4.005                     6.928203230275509        15.392                   57.88113955794253
4.012                     6.928203230275509        15.435                   57.96159264252861
4.038                     6.928203230275509        15.343                   57.758103343991614
4.167                     6.928203230275509        15.218                   57.41490578723058
3.893                     6.928203230275509        15.097                   57.39681492630097
4.243                     6.928203230275509        15.257                   57.43027200886722
3.982                     6.928203230275509        15.016                   57.17296237064696
3.841                     6.928203230275509        15.081000000000001       57.406066186426706
3.9290000000000003        6.928203230275509        15.3                     57.76030098556058
4.047                     6.928203230275509        15.114                   57.30848300151153
4.191000000000001         6.928203230275509        15.457                   57.86180667030885
4.228                     6.928203230275509        15.412                   57.7428290782024
3.93                      6.928203230275509        15.217                   57.597701135610535
3.778                     6.928203230275509        15.406                   58.086984656080524
4.078                     6.928203230275509        15.14                    57.33447322594775
3.7840000000000003        6.928203230275509        15.383                   58.03662991091339
3.892                     6.928203230275509        15.027000000000001       57.258484644064005
3.836                     6.928203230275509        15.17                    57.58072176620736
4.019                     6.928203230275509        15.397                   57.88007843448426
3.783                     6.928203230275509        15.100000000000001       57.48753896564438
3.755                     6.928203230275509        15.456                   58.20443349353711
4.117                     6.928203230275509        15.395000000000001       57.798420698323284
3.9510000000000005        6.928203230275509        15.399                   57.938681954441556
3.797                     6.928203230275509        15.238                   57.741796733942145
3.902                     6.928203230275509        15.465                   58.11003213737944
3.932                     6.928203230275509        15.123                   57.41558930534871
4.197                     6.928203230275509        15.367                   57.679463528593445
4.154                     6.928203230275509        15.444                   57.865922647454475
3.892                     6.928203230275509        15.478                   58.14413605364339
4.116                     6.928203230275509        15.076                   57.185874843392405
4.046                     6.928203230275509        15.214                   57.500309536647336
4.223                     6.928203230275509        15.010000000000002       56.98341204692455
4.017                     6.928203230275509        15.164                   57.426210078614616
4.109                     6.928203230275509        15.176                   57.379353344324265
3.9110000000000005        6.928203230275509        15.132                   57.44944408998974
4.058                     6.928203230275509        15.244                   57.549085227689766
3.826                     6.928203230275509        15.315000000000001       57.87020957269946
3.848                     6.928203230275509        15.475                   58.1722863698309
3.9459999999999997        6.928203230275509        15.112                   57.38344840370053
4.197                     6.928203230275509        15.31                    57.568442894817466
3.8690000000000007        6.928203230275509        15.467000000000002       58.13987795821403
3.884                     6.928203230275509        15.114                   57.436435513262175
3.922                     6.928203230275509        15.425                   58.01380821177936
3.881                     6.928203230275509        15.225000000000001       57.651893253575295
3.94                      6.928203230275509        15.176                   57.510620804738345
3.9690000000000003        6.928203230275509        15.431000000000001       57.9882345312465
4.115                     6.928203230275509        15.288000000000002       57.59023267406033
4.082                     6.928203230275509        15.052                   57.16660662755103
4.245                     6.928203230275509        15.129                   57.18669064825097
4.198                     6.928203230275509        15.11                    57.187149466056574
3.868                     6.928203230275509        15.180000000000001       57.57516172406769
4.057                     6.928203230275509        15.383                   57.822261968002046
3.816                     6.928203230275509        15.238                   57.72734783200476
4.147                     6.928203230275509        15.407                   57.79818027778673
3.9260000000000006        6.928203230275509        15.247                   57.659108154672026
3.8330000000000006        6.928203230275509        15.277                   57.790320427792
4.110000000000001         6.928203230275509        15.328                   57.67214982553661
4.171                     6.928203230275509        15.17                    57.32070095927989
3.827                     6.928203230275509        15.023                   57.30189800683667
3.92                      6.928203230275509        15.395000000000001       57.95542053149704
4.022                     6.928203230275509        15.456                   57.99582575954737
3.901                     6.928203230275509        15.402                   57.98439694158949
4.06                      6.928203230275509        15.036000000000001       57.15316548420487
3.846                     6.928203230275509        15.371                   57.96552772144158
4.079                     6.928203230275509        15.038                   57.1428086396621
3.825                     6.928203230275509        15.374                   57.98761702192459
3.776                     6.928203230275509        15.086                   57.46629502116507
4.097                     6.928203230275509        15.185                   57.40562517761606
3.816                     6.928203230275509        15.043                   57.35007147815148
4.144                     6.928203230275509        15.074                   57.161130714226864
4.069                     6.928203230275509        15.272                   57.594925528282985
3.9459999999999997        6.928203230275509        15.477                   58.09935049605001
3.835                     6.928203230275509        15.329                   57.89088158248367
4.201                     6.928203230275509        15.368000000000002       57.67822042938069
3.9169999999999994        6.928203230275509        15.056                   57.29593086957054
4.202                     6.928203230275509        15.065                   57.10067531801234
4.086                     6.928203230275509        15.479                   57.99075709529768
4.016000000000001         6.928203230275509        15.195                   57.4865368259364
3.792                     6.928203230275509        15.203                   57.67781912499188
3.828                     6.928203230275509        15.124                   57.49890959231759
3.9230000000000005        6.928203230275509        15.142                   57.45901408807255
4.145                     6.928203230275509        15.100000000000001       57.20873526691851
4.036                     6.928203230275509        15.13                    57.34702111254704
3.889                     6.928203230275509        15.111                   57.4268077818699
3.906                     6.928203230275509        15.415                   58.00643833880238
3.904                     6.928203230275509        15.128                   57.44735229060813
3.9580000000000006        6.928203230275509        15.232                   57.60434528140058
4.076                     6.928203230275509        15.089                   57.24004025564719
4.208                     6.928203230275509        15.334                   57.60630826688448
4.13                      6.928203230275509        15.481                   57.959201788458955
4.108                     6.928203230275509        15.219                   57.462343624967346
3.994                     6.928203230275509        15.047                   57.222201459265456
3.9310000000000005        6.928203230275509        15.439                   58.03474746731399
3.85                      6.928203230275509        15.395000000000001       58.010195276278154
4.019                     6.928203230275509        15.128                   57.355931592084
3.828                     6.928203230275509        15.371                   57.97936199429002
4.233                     6.928203230275509        15.023                   56.99976193909053
3.763                     6.928203230275509        15.192                   57.67842115238989
3.781                     6.928203230275509        15.043                   57.37708338284903
4.076                     6.928203230275509        15.15                    57.3549452612492
3.755                     6.928203230275509        15.467000000000002       58.2265983060599
3.8690000000000007        6.928203230275509        15.243000000000002       57.69619901228153
3.8490000000000006        6.928203230275509        15.106                   57.448495727751606
3.811                     6.928203230275509        15.353                   57.95665323773629
4.234                     6.928203230275509        15.395000000000001       57.70459075752208
4.146000000000001         6.928203230275509        15.128                   57.26040048737298
4.106                     6.928203230275509        15.168                   57.3664327734503
3.967                     6.928203230275509        15.246                   57.62429233951999
3.835                     6.928203230275509        15.196                   57.6315156112185
4.036                     6.928203230275509        15.241                   57.56018312436622
3.907                     6.928203230275509        15.366                   57.90801119172627
4.041                     6.928203230275509        15.116                   57.3167503260881
4.076                     6.928203230275509        15.147                   57.34925288064351
3.867                     6.928203230275509        15.135000000000002       57.48972726499702
4.126                     6.928203230275509        15.064000000000002       57.15606848111233
4.117                     6.928203230275509        15.408                   57.82416055633138
3.875                     6.928203230275509        15.158                   57.52746924298805
4.211                     6.928203230275509        15.003                   56.97957920347194
4.072                     6.928203230275509        15.232                   57.515104358073515
3.9580000000000006        6.928203230275509        15.474                   58.083667789500105
3.902                     6.928203230275509        15.21                    57.60635994627864
4.093                     6.928203230275509        15.156                   57.35349870663878
3.982                     6.928203230275509        15.342000000000002       57.800443274671224
4.206                     6.928203230275509        15.091000000000001       57.145792116229146
4.132                     6.928203230275509        15.446                   57.88764439874796
3.9459999999999997        6.928203230275509        15.467000000000002       58.079153915095716
4.195                     6.928203230275509        15.31                    57.5700257679951
3.802                     6.928203230275509        15.389                   58.0349707242454
4.103                     6.928203230275509        15.174                   57.3801076223434
4.159                     6.928203230275509        15.073000000000002       57.1479799702466
3.7750000000000004        6.928203230275509        15.339                   57.956183206289396
4.014                     6.928203230275509        15.016                   57.149831722286905
3.8400000000000003        6.928203230275509        15.454                   58.13610003658119
4.159                     6.928203230275509        15.03                    57.068348527547236
3.881                     6.928203230275509        15.48                    58.15678514539595
4.146000000000001         6.928203230275509        15.417                   57.81877392374906
3.9580000000000006        6.928203230275509        15.031                   57.21795086559293
3.927                     6.928203230275509        15.411                   57.981813547293044
4.213000000000001         6.928203230275509        15.069                   57.099736636868236
4.079                     6.928203230275509        15.152                   57.3564792183551
4.227                     6.928203230275509        15.314000000000002       57.55239760715923
3.941                     6.928203230275509        15.182                   57.521360864514705
3.942                     6.928203230275509        15.463                   58.074282097462586
3.782                     6.928203230275509        15.093                   57.47502613812462
3.791                     6.928203230275509        15.234000000000002       57.73857301145146
3.8220000000000005        6.928203230275509        15.317                   57.8772052527104
4.035                     6.928203230275509        15.432000000000002       57.93731431916631
4.071                     6.928203230275509        15.224                   57.50043639771765
3.8130000000000006        6.928203230275509        15.204                   57.66380006885144
3.889                     6.928203230275509        15.119                   57.442024104122716
4.147                     6.928203230275509        15.032                   57.08102916690093
3.7680000000000002        6.928203230275509        15.352                   57.98713154705354
4.101000000000001         6.928203230275509        15.270000000000001       57.56620436969867
3.837                     6.928203230275509        15.084                   57.415173037131304
4.057                     6.928203230275509        15.439                   57.93380150020798
4.107                     6.928203230275509        15.431000000000001       57.8778529169461
4.12                      6.928203230275509        15.076                   57.182875631984665
3.85                      6.928203230275509        15.279000000000002       57.78113283852859
4.235                     6.928203230275509        15.26                    57.4422398015425
3.932                     6.928203230275509        15.224                   57.60966535261395
3.81                      6.928203230275509        15.346                   57.94356446239826
4.196                     6.928203230275509        15.262                   57.476563855841405
3.982                     6.928203230275509        15.472                   58.06025881963676
4.047                     6.928203230275509        15.332000000000003       57.72939801627304
4.043                     6.928203230275509        15.483                   58.03341392251242
3.9839999999999995        6.928203230275509        15.257                   57.631939226691834
4.238                     6.928203230275509        15.217                   57.35810718734434
3.902                     6.928203230275509        15.105                   57.405171244485146
4.165                     6.928203230275509        15.377000000000002       57.72464589770716
4.184                     6.928203230275509        15.277                   57.514875888105735
4.133                     6.928203230275509        15.242                   57.487244615231646
3.763                     6.928203230275509        15.088                   57.479836091378786
